elementId,enterpriseId,name,dataType,status,description,structure,references
TBD,,informationElementRangeBegin,unsigned64,current,"Contains the inclusive low end of the range of acceptable values for an Information Element.",,
TBD,,printerName,string,current,"Specifies the name of the printer.",,
TBD,,collectorIPv4Address,ipv4Address,current,"An IPv4 address to which the Exporting Process sends Flow information.",,
TBD,,pendingStatus,boolean,current,"Indicates the pending state of the specified SELinux boolean.",,
TBD,,fileReadEa,boolean,current,"Grants the right to read extended attributes.",,
TBD,,eventType,string,current,"a set of types that define the categories of an event (e.g. access-level-change, change-of-priviledge, change-of-authorization, environmental-event, or provisioning-event).",,
TBD,,sacmStatementMetadata,orderedList,current,"Contains IEs that provide information about the data origin of the providing SACM Component as well as the information necessary for other SACM Components to understand the type of security automation information in the SACM Statement's SACM Content Element(s).","orderedList(publicationTimestamp,dataOrigin,)",
TBD,,mibObjectValueGauge,unsigned32,current,"An IPFIX Information Element which denotes that the Gauge value of a MIB object will be exported.  The MIB Object Identifier (""mibObjectIdentifier"") for this field MUST be exported in a MIB Field Option or via another means.  This Information Element is used for MIB objects with the Base Syntax of Gauge32. The value is encoded as per the standard IPFIX Abstract Data Type of unsigned64.  This value will represent a non-negative integer, which may increase or decrease, but shall never exceed a maximum value, nor fall below a minimum value.",,
TBD,,networkLayer,string,current,"A set of layers that expresses the specific network layer an interface operates on.",,
TBD,,softwareTitle,string,current,"The title of the software application.",,
TBD,,routingtable,list,current,"Holds information about an individual routing table entry found in a system's primary routing table.","list(destination,gateway,flags,interfaceName)",
TBD,,auditFileAppendData,enumeration,current,"Grants the right to append data to the file.","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
